僨乕僞宍幃, 2
memo1
x, y, z
0.000000, 0.000000, 27.055429
1.000000, 0.000000, 27.013706
2.000000, 0.000000, 26.959056
3.000000, 0.000000, 26.903466
4.000000, 0.000000, 26.847351
5.000000, 0.000000, 26.789864
6.000000, 0.000000, 26.731869
7.000000, 0.000000, 26.672913
8.000000, 0.000000, 26.613928
9.000000, 0.000000, 26.553519
10.000000, 0.000000, 26.493149
11.000000, 0.000000, 26.432204
12.000000, 0.000000, 26.371284
13.000000, 0.000000, 26.309879
14.000000, 0.000000, 26.248475
15.000000, 0.000000, 26.186551
16.000000, 0.000000, 26.125141
17.000000, 0.000000, 26.063675
18.000000, 0.000000, 26.002678
19.000000, 0.000000, 25.941712
20.000000, 0.000000, 25.881637
21.000000, 0.000000, 25.821594
22.000000, 0.000000, 25.761999
23.000000, 0.000000, 25.703310
24.000000, 0.000000, 25.645586
25.000000, 0.000000, 25.588337
26.000000, 0.000000, 25.531977
27.000000, 0.000000, 25.476620
28.000000, 0.000000, 25.422166
29.000000, 0.000000, 25.368640
30.000000, 0.000000, 25.316061
31.000000, 0.000000, 25.264872
32.000000, 0.000000, 25.215143
33.000000, 0.000000, 25.166317
34.000000, 0.000000, 25.118437
35.000000, 0.000000, 25.072415
36.000000, 0.000000, 25.027363
37.000000, 0.000000, 24.983705
38.000000, 0.000000, 24.941450
39.000000, 0.000000, 24.900632
40.000000, 0.000000, 24.861643
41.000000, 0.000000, 24.823651
42.000000, 0.000000, 24.787079
43.000000, 0.000000, 24.752337
44.000000, 0.000000, 24.719030
45.000000, 0.000000, 24.686651
46.000000, 0.000000, 24.656642
47.000000, 0.000000, 24.627548
48.000000, 0.000000, 24.600331
49.000000, 0.000000, 24.574543
50.000000, 0.000000, 24.550174
51.000000, 0.000000, 24.527661
52.000000, 0.000000, 24.506608
53.000000, 0.000000, 24.486938
54.000000, 0.000000, 24.469109
55.000000, 0.000000, 24.466413
56.000000, 0.000000, 24.437409
57.000000, 0.000000, 24.424184
58.000000, 0.000000, 24.412404
59.000000, 0.000000, 24.402038
60.000000, 0.000000, 24.393509
61.000000, 0.000000, 24.386416
62.000000, 0.000000, 24.380711
63.000000, 0.000000, 24.376456
64.000000, 0.000000, 24.374024
65.000000, 0.000000, 24.373038
66.000000, 0.000000, 24.373433
67.000000, 0.000000, 24.375271
68.000000, 0.000000, 24.378992
69.000000, 0.000000, 24.383645
70.000000, 0.000000, 24.390137
71.000000, 0.000000, 24.398079
72.000000, 0.000000, 24.406968
73.000000, 0.000000, 24.417690
74.000000, 0.000000, 24.429858
75.000000, 0.000000, 24.443426
76.000000, 0.000000, 24.457921
77.000000, 0.000000, 24.474312
78.000000, 0.000000, 24.491641
79.000000, 0.000000, 24.510858
80.000000, 0.000000, 24.530953
81.000000, 0.000000, 24.552031
82.000000, 0.000000, 24.574992
83.000000, 0.000000, 24.598883
84.000000, 0.000000, 24.624170
85.000000, 0.000000, 24.650879
86.000000, 0.000000, 24.678526
87.000000, 0.000000, 24.707579
88.000000, 0.000000, 24.737576
89.000000, 0.000000, 24.768956
90.000000, 0.000000, 24.801318
91.000000, 0.000000, 24.834568
92.000000, 0.000000, 24.869272
93.000000, 0.000000, 24.905344
94.000000, 0.000000, 24.941888
95.000000, 0.000000, 24.979853
96.000000, 0.000000, 25.018748
97.000000, 0.000000, 25.059084
98.000000, 0.000000, 25.099847
99.000000, 0.000000, 25.142004
100.000000, 0.000000, 25.184638
101.000000, 0.000000, 25.228724
102.000000, 0.000000, 25.273223
103.000000, 0.000000, 25.319158
104.000000, 0.000000, 25.365541
105.000000, 0.000000, 25.413345
106.000000, 0.000000, 25.461611
107.000000, 0.000000, 25.510814
108.000000, 0.000000, 25.560462
109.000000, 0.000000, 25.611072
110.000000, 0.000000, 25.652425
0.000000, 1.000000, 30.458125
1.000000, 1.000000, 30.423173
2.000000, 1.000000, 30.374174
3.000000, 1.000000, 30.324207
4.000000, 1.000000, 30.273213
5.000000, 1.000000, 30.221752
6.000000, 1.000000, 30.168816
7.000000, 1.000000, 30.115355
8.000000, 1.000000, 30.061391
9.000000, 1.000000, 30.006424
10.000000, 1.000000, 29.951031
11.000000, 1.000000, 29.895501
12.000000, 1.000000, 29.839058
13.000000, 1.000000, 29.782585
14.000000, 1.000000, 29.726111
15.000000, 1.000000, 29.669098
16.000000, 1.000000, 29.612621
17.000000, 1.000000, 29.556080
18.000000, 1.000000, 29.499555
19.000000, 1.000000, 29.443531
20.000000, 1.000000, 29.387483
21.000000, 1.000000, 29.331943
22.000000, 1.000000, 29.277344
23.000000, 1.000000, 29.222727
24.000000, 1.000000, 29.169116
25.000000, 1.000000, 29.116467
