x,y,z
0.015,0.009,0.099547499
0.016,0.009,0.096607033
0.017,0.009,0.090527388
0.018,0.009,0.082561661
0.019,0.009,0.076137386
0.02,0.009,0.068685476
0,0.01,0.069783009
0.001,0.01,0.080480624
0.002,0.01,0.092508743
0.003,0.01,0.098523741
0.004,0.01,0.099396122
0.005,0.01,0.096550964
0.006,0.01,0.091113619
0.007,0.01,0.085085825
0.008,0.01,0.080685487
0.009,0.01,0.0785142
0.01,0.01,0.078912754
0.011,0.01,0.082323326
0.012,0.01,0.088253739
0.013,0.01,0.094374113
0.014,0.01,0.098134929
0.015,0.01,0.098639891
0.016,0.01,0.095621688
0.017,0.01,0.089596742
0.018,0.01,0.081739961
0.019,0.01,0.074703276
0.02,0.01,0.06711986
0,0.011,0.062207867
0.001,0.011,0.073037295
0.002,0.011,0.08440019
0.003,0.011,0.089897371
0.004,0.011,0.090612142
0.005,0.011,0.088139469
0.006,0.011,0.083638733
0.007,0.011,0.07865114
0.008,0.011,0.074860369
0.009,0.011,0.073094617
0.01,0.011,0.073872958
0.011,0.011,0.077311679
0.012,0.011,0.082465187
0.013,0.011,0.087581671
0.014,0.011,0.090825131
0.015,0.011,0.091028807
0.016,0.011,0.088004016
0.017,0.011,0.08208655
0.018,0.011,0.074300496
0.019,0.011,0.067529822
0.02,0.011,0.060082228
0,0.012,0.054632725
0.001,0.012,0.065593967
0.002,0.012,0.076291637
0.003,0.012,0.081271
0.004,0.012,0.081828162
0.005,0.012,0.079727974
0.006,0.012,0.076163847
0.007,0.012,0.072216455
0.008,0.012,0.069035252
0.009,0.012,0.067675035
0.01,0.012,0.068833161
0.011,0.012,0.072300032
0.012,0.012,0.076676634
0.013,0.012,0.080789229
0.014,0.012,0.083515333
0.015,0.012,0.083417722
0.016,0.012,0.080386343
0.017,0.012,0.074576358
0.018,0.012,0.06686103
0.019,0.012,0.060356367
0.02,0.012,0.053044594
0,0.013,0.045590197
0.001,0.013,0.055459201
0.002,0.013,0.064979048
0.003,0.013,0.069425739
0.004,0.013,0.070034474
0.005,0.013,0.06834148
0.006,0.013,0.065313482
0.007,0.013,0.062006478
0.008,0.013,0.059639193
0.009,0.013,0.059105066
0.01,0.013,0.060641521
0.011,0.013,0.063700878
0.012,0.013,0.067282243
0.013,0.013,0.070551749
0.014,0.013,0.072707844
0.015,0.013,0.072362153
0.016,0.013,0.069298543
0.017,0.013,0.063780011
0.018,0.013,0.056754498
0.019,0.013,0.051206344
0.02,0.013,0.044673284
0,0.014,0.036547669
0.001,0.014,0.045324435
0.002,0.014,0.053666459
0.003,0.014,0.057580478
0.004,0.014,0.058240785
0.005,0.014,0.056954986
0.006,0.014,0.054463116
0.007,0.014,0.051796501
0.008,0.014,0.050243134
0.009,0.014,0.050535097
0.01,0.014,0.05244988
0.011,0.014,0.055101724
0.012,0.014,0.057887852
0.013,0.014,0.060314269
0.014,0.014,0.061900355
0.015,0.014,0.061306583
0.016,0.014,0.058210743
0.017,0.014,0.052983664
0.018,0.014,0.046647966
0.019,0.014,0.04205632
0.02,0.014,0.036301973
0,0.015,0.030458067
0.001,0.015,0.036470464
0.002,0.015,0.042388038
0.003,0.015,0.045583979
0.004,0.015,0.046431874
0.005,0.015,0.045603586
0.006,0.015,0.043895069
0.007,0.015,0.042256382
0.008,0.015,0.041480494
0.009,0.015,0.041966425
0.01,0.015,0.043532925
0.011,0.015,0.045717153
0.012,0.015,0.047924068
0.013,0.015,0.049430054
0.014,0.015,0.050129062
0.015,0.015,0.049428574
0.016,0.015,0.046880246
0.017,0.015,0.042737033
0.018,0.015,0.038008287
0.019,0.015,0.034728327
0.02,0.015,0.03048251
0,0.016,0.024368465
0.001,0.016,0.027616493
0.002,0.016,0.031109616
0.003,0.016,0.03358748
0.004,0.016,0.034622963
0.005,0.016,0.034252186
0.006,0.016,0.033327021
0.007,0.016,0.032716263
0.008,0.016,0.032717853
0.009,0.016,0.033397752
0.01,0.016,0.03461597
0.011,0.016,0.036332581
0.012,0.016,0.037960283
0.013,0.016,0.038545839
0.014,0.016,0.038357769
0.015,0.016,0.037550566
0.016,0.016,0.03554975
0.017,0.016,0.032490403
0.018,0.016,0.029368608
0.019,0.016,0.027400334
0.02,0.016,0.024663046
0,0.017,0.023710922
0.001,0.017,0.024891074
0.002,0.017,0.026399028
0.003,0.017,0.027595509
0.004,0.017,0.02790924
0.005,0.017,0.027612425
0.006,0.017,0.027287006
0.007,0.017,0.027183701
0.008,0.017,0.027375275
0.009,0.017,0.027800072
0.01,0.017,0.028520333
0.011,0.017,0.02968551
0.012,0.017,0.030893588
0.013,0.017,0.03150216
0.014,0.017,0.031487278
0.015,0.017,0.030909872
0.016,0.017,0.029657565
0.017,0.017,0.028050942
0.018,0.017,0.026468934
0.019,0.017,0.025280662
0.02,0.017,0.023829899
0,0.018,0.02305338
0.001,0.018,0.022165656
0.002,0.018,0.02168844
0.003,0.018,0.021603539
0.004,0.018,0.021195516
0.005,0.018,0.020972663
0.006,0.018,0.021246991
0.007,0.018,0.021651139
0.008,0.018,0.022032697
0.009,0.018,0.022202392
0.01,0.018,0.022424696
0.011,0.018,0.023038438
0.012,0.018,0.023826892
0.013,0.018,0.024458481
0.014,0.018,0.024616787
0.015,0.018,0.024269178
0.016,0.018,0.02376538
0.017,0.018,0.023611482
0.018,0.018,0.023569259
0.019,0.018,0.023160991
0.02,0.018,0.022996753
0,0.019,0.02300338
0.001,0.019,0.022115656
0.002,0.019,0.021598286
0.003,0.019,0.021734146
0.004,0.019,0.021706448
0.005,0.019,0.021529058
0.006,0.019,0.021496014
0.007,0.019,0.021606333
0.008,0.019,0.021628779
0.009,0.019,0.021506928
0.01,0.019,0.021583873
0.011,0.019,0.022066037
0.012,0.019,0.02269432
0.013,0.019,0.023113152
0.014,0.019,0.023457209
0.015,0.019,0.023677256
0.016,0.019,0.023631771
0.017,0.019,0.02370813
0.018,0.019,0.024186732
0.019,0.019,0.02461557
0.02,0.019,0.025077584
0,0.02,0.02295338
0.001,0.02,0.022065656
0.002,0.02,0.021508131
0.003,0.02,0.021864753
0.004,0.02,0.022217378
0.005,0.02,0.022085453
0.006,0.02,0.021745037
0.007,0.02,0.021561528
0.008,0.02,0.02122486
0.009,0.02,0.020811463
0.01,0.02,0.02074305
0.011,0.02,0.021093636
0.012,0.02,0.021561747
0.013,0.02,0.021767823
0.014,0.02,0.02229763
0.015,0.02,0.023085334
0.016,0.02,0.023498161
0.017,0.02,0.023804778
0.018,0.02,0.024804204
0.019,0.02,0.026070148
0.02,0.02,0.027158413
