x,y,z
11.2,0.4,0.108506798
11.4,0.4,0.111940368
11.6,0.4,0.115373938
11.8,0.4,0.118807508
12,0.4,0.122241078
12.2,0.4,0.123391758
12.4,0.4,0.124542439
12.6,0.4,0.125693119
12.8,0.4,0.1268438
13,0.4,0.12799448
13.2,0.4,0.126065553
13.4,0.4,0.124136626
13.6,0.4,0.122207699
13.8,0.4,0.120278772
14,0.4,0.118349846
14.2,0.4,0.116630944
14.4,0.4,0.114912043
14.6,0.4,0.113193142
14.8,0.4,0.11147424
15,0.4,0.109755339
15.2,0.4,0.106769337
15.4,0.4,0.103783335
15.6,0.4,0.100797332
15.8,0.4,0.09781133
16,0.4,0
0,0.6,0.06657244
0.2,0.6,0.071298809
0.4,0.6,0.076025177
0.6,0.6,0.080751546
0.8,0.6,0.085477914
1,0.6,0.090204283
1.2,0.6,0.094852546
1.4,0.6,0.099500809
1.6,0.6,0.104149072
1.8,0.6,0.108797335
2,0.6,0.113445599
2.2,0.6,0.115232913
2.4,0.6,0.117020228
2.6,0.6,0.118807543
2.8,0.6,0.120594858
3,0.6,0.122382173
3.2,0.6,0.121019118
3.4,0.6,0.119656063
3.6,0.6,0.118293008
3.8,0.6,0.116929953
4,0.6,0.115566898
4.2,0.6,0.113328068
4.4,0.6,0.111089238
4.6,0.6,0.108850408
4.8,0.6,0.106611578
5,0.6,0.104372748
5.2,0.6,0.102315769
5.4,0.6,0.100258791
5.6,0.6,0.098201813
5.8,0.6,0.096144835
6,0.6,0.094087856
6.2,0.6,0.092673441
6.4,0.6,0.091259025
6.6,0.6,0.08984461
6.8,0.6,0.088430194
7,0.6,0.087015779
7.2,0.6,0.085793897
7.4,0.6,0.084572016
7.6,0.6,0.083350135
7.8,0.6,0.082128254
8,0.6,0.080906372
8.2,0.6,0.081205804
8.4,0.6,0.081505237
8.6,0.6,0.081804669
8.8,0.6,0.082104101
9,0.6,0.082403533
9.2,0.6,0.084707544
9.4,0.6,0.087011555
9.6,0.6,0.089315566
9.8,0.6,0.091619577
10,0.6,0.093923588
10.2,0.6,0.097288767
10.4,0.6,0.100653946
10.6,0.6,0.104019126
10.8,0.6,0.107384305
11,0.6,0.110749484
11.2,0.6,0.114219137
11.4,0.6,0.117688789
11.6,0.6,0.121158442
11.8,0.6,0.124628095
12,0.6,0.128097748
12.2,0.6,0.129621041
